item,item_link,question,item_number,component,valence,type
cheerleader1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/cheerleader1.png"" style=""width: 450px; height: 600px;"">",Did you see cheerleaders?,1,object,neutral,same
helicopter1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/helicopter1.png"" style=""width: 450px; height: 600px;"">",Did you see a helicopter?,2,object,neutral,same
windmill1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/windmill1.png"" style=""width: 450px; height: 600px;"">",Did you see a windmill?,3,object,neutral,same
towels1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/towels1.png"" style=""width: 450px; height: 600px;"">",Did you see a towel (or towels)?,4,object,neutral,same
barrel1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/barrel1.png"" style=""width: 450px; height: 600px;"">",Did you see a barrel?,5,object,neutral,same
monkey1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/monkey1.png"" style=""width: 450px; height: 600px;"">",Did you see a monkey?,6,object,neutral,same
bikerace1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/bikerace1.png"" style=""width: 450px; height: 600px;"">",Did you see a man racing on a bike?,7,object,neutral,same
lilypad1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/lilypad1.png"" style=""width: 450px; height: 600px;"">",Did you see lilypads?,8,object,neutral,same
math1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/math1.png"" style=""width: 450px; height: 600px;"">",Did you see math on a blackboard?,9,object,neutral,similar
crossing1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/crossing1.png"" style=""width: 450px; height: 600px;"">",Did you see a crossing guard?,10,object,neutral,similar
fish1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/fish1.png"" style=""width: 450px; height: 600px;"">",Did you see a fish?,11,object,neutral,similar
pitchfork1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/pitchfork1.png"" style=""width: 450px; height: 600px;"">",Did you see a pitchfork?,12,object,neutral,similar
zebra1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/zebra1.png"" style=""width: 450px; height: 600px;"">",Did you see a zebra?,13,object,neutral,similar
yarn1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/yarn1.png"" style=""width: 450px; height: 600px;"">",Did you see a ball of yarn?,14,object,neutral,similar
hummingbird1.png,"<img src=""http://web.stanford.edu/~jzhang18/psych251/my_tasks/pic/processed/hummingbird1.png"" style=""width: 450px; height: 600px;"">",Did you see a hummingbird?,15,object,neutral,similar
